Experiment Simple_Date Class_ID Participant_Private_ID Time_On_Task Condition Phase Trial Time_On_Trial Trial_Number RestudyDecision JoL Test Event_Index Response all_test_element_codings_as_one Test_Total_Correct
1 2022-06-03 nR6 6563275 14.7833333333333 No-SSI 1 Metro 270 1 Nee 4 "Door de ''red birds'' te laten zinken komt er een kunstmatig koraalrif
Minder afval hoeft gedumpt te worden/ andere manier
Er komt meer plankton
Meer andere soorten vissen" 35 "Door de ''red birds'' te laten zinken komt er een kunstmatig koraalrif
Minder afval hoeft gedumpt te wordenandere manier
Er komt meer plankton
Meer andere soorten vissen" "2 1 3 4" 4
1 2022-06-03 nR6 6563275 14.7833333333333 No-SSI 1 Beton 288 2 Nee 2 "Verwarming in een gebouw
Verwarming kan zorgen voor betonkrimp
Betonkrimp kan ervoor zorgen dat je liftschacht bijvoorbeeld te klein word
Grote onderhoudsbeurt" 37 "Verwarming in een gebouw
Verwarming kan zorgen voor betonkrimp
Betonkrimp kan ervoor zorgen dat je liftschacht bijvoorbeeld te klein word
Grote onderhoudsbeurt" "1 3 4 Given" 3
1 2022-06-03 nR6 6563275 14.7833333333333 No-SSI 1 Muziek 301 3 Ja 2 "Makkelijker dingen onthouden
Betere IQ test
Wiskunde beter maken
?" 39 "Makkelijker dingen onthouden
Betere IQ test
Wiskunde beter maken
?" "3 4 2 0" 3
1 2022-06-03 nR6 6563275 14.7833333333333 No-SSI 2 Botox 305 4 Nee 3 "Botox zorgt ervoor dat sommige spieren op de plekken van botox niet meer werken
Geen rimpels op die plekken
Je ziet er jonger uit
Je kan een andere uitdrukking geven als dat je zou willen" 74 "Botox zorgt ervoor dat sommige spieren op de plekken van botox niet meer werken
Geen rimpels op die plekken
Je ziet er jonger uit
Je kan een andere uitdrukking geven als dat je zou willen" "1 2 3 4" 4
1 2022-06-03 nR6 6563275 14.7833333333333 No-SSI 2 Geld 325 5 Nee 3 "Je word het meest blij van familie of gemeenschap
Kortdurige periode waarin je geld uitgeeft en er blij van word
Op lange periode word je er niet zo gelukkig meer van
Lottowinnaar niet gelukkig" 76 "Je word het meest blij van familie of gemeenschap
Kortdurige periode waarin je geld uitgeeft en er blij van word
Op lange periode word je er niet zo gelukkig meer van
Lottowinnaar niet gelukkig" "1 2 4 Given" 3
1 2022-06-03 nR6 6563275 14.7833333333333 No-SSI 2 Suez 367 6 Ja 2 "Geen natuurlijke waterweg 
Er is een makkelijke/snellere route nodig
Handel duurt lang
Waterkanaal word gegraven" 78 "Geen natuurlijke waterweg 
Er is een makkelijke/snellere route nodig
Handel duurt lang
Waterkanaal word gegraven" "1 3 2 4" 4
1 2022-06-03 nR6 6563280 20.2666666666667 No-SSI 1 Beton 468 1 Ja 2 "meeste gebouwen zijn van betton
betton kan uitdrogen
liften blijven hangen
moeten gerenoveerd worden" 35 NA "2 4 Given" 2
1 2022-06-03 nR6 6563280 20.2666666666667 No-SSI 1 Suez 468 2 Ja 3 "het duurde heel lang voordat schepen er waren
afstand was te groot
er moest een oplossing komen
het suezkanaal werd aangelegd" 37 "het duurde heel lang voordat schepen er waren
afstand was te groot
er moest een oplossing komen
het suezkanaal werd aangelegd" "2 0 3 4" 3
1 2022-06-03 nR6 6563280 20.2666666666667 No-SSI 1 Botox 477 3 Nee 3 "Het kan er mooier uitzien
het kan je gezichtsuitdrukking veranderen
het kan invloed hebben op je huid en zenuwen
?" 39 "Het kan er mooier uitzien
het kan je gezichtsuitdrukking veranderen
het kan invloed hebben op je huid en zenuwen
?" "3 4 Given" 2
1 2022-06-03 nR6 6563280 20.2666666666667 No-SSI 2 Geld 414 4 Nee 3 "hebben meer nodig om gelukkig te worden
hebben veel al
kunnen veel kopen
hoeft niets meer graag te willen" 74 "hebben meer nodig om gelukkig te worden
hebben veel al
kunnen veel kopen
hoeft niets meer graag te willen" "4 0 0 0" 1
1 2022-06-03 nR6 6563280 20.2666666666667 No-SSI 2 Metro 385 5 Ja 3 "natuurvervuiling
komen riffen
komen vissen opaf
goed voor de vissers" 76 NA "0 2 4 0" 2
1 2022-06-03 nR6 6563280 20.2666666666667 No-SSI 2 Muziek 343 6 Nee 4 "je onthoud het goed
als je altzheimer hebt kan je het je nog herinneren
" 78 "je onthoud het goed
als je altzheimer hebt kan je het je nog herinneren
" "3 0" 1
1 2022-06-03 nR6 6563282 12.7833333333333 No-SSI 1 Botox 350 1 Nee 3 "je ziet er jonger uit
het kan helpen bij spierziektes
haalt rimpels weg
uitdrukking veranderd" 35 NA "3 0 2 4" 3
1 2022-06-03 nR6 6563282 12.7833333333333 No-SSI 1 Geld 349 2 Ja 1 "ze willen meer geld om gelukkig te zijn
je ervaart maar kort geluk
familie is belangrijk" 37 "ze willen meer geld om gelukkig te zijn
je ervaart maar kort geluk
familie is belangrijk" "4 2 1" 3
1 2022-06-03 nR6 6563282 12.7833333333333 No-SSI 1 Muziek 342 3 Ja 2 "wiskundige vaardigheden
goed onthouden
slimmer
hoger iq
" 39 "wiskundige vaardigheden
goed onthouden
slimmer
hoger iq
" "2 3 0 4" 3
1 2022-06-03 nR6 6563282 12.7833333333333 No-SSI 2 Metro 209 4 Nee 3 "meer zeefauna
meer vissen
geen afval
nieuw rif" 74 "meer zeefauna
meer vissen
geen afval
nieuw rif" "3 4 0 2" 3
1 2022-06-03 nR6 6563282 12.7833333333333 No-SSI 2 Beton 217 5 Nee 3 "de gebouwen krimpen
de lift blijft hangen
door meer warmte krimpt het meer
lift wordt gerenoveerd" 76 "de gebouwen krimpen
de lift blijft hangen
door meer warmte krimpt het meer
lift wordt gerenoveerd" "3 4 1 Given" 3
1 2022-06-03 nR6 6563282 12.7833333333333 No-SSI 2 Suez 227 6 Ja 2 "om het continent afrika
heel erg lang
geen natuurlijke verbinding
korter" 78 "om het continent afrika
heel erg lang
geen natuurlijke verbinding
korter" "2 0 0 Given" 1
1 2022-06-03 nR6 6563283 49.25 No-SSI 1 Geld 1310 1 Nee 3 "Lottowinnaars zijn vaak niet gelukkig.
Dat komt omdat je brein snel went aan dat gevoel, maar als het dan helemaal op is en je het niet meer kunt betalen, krijg je het tegenovergestelde van een geluksgevoel. Ook raken mensen erg snel gewent aan dat geluksgevoel, dat zorgt dat je er een beetje aan verslaaft raakt. Dat zijn de grootste redenen waardoor lottowinnaars vooral op lange termijn niet gelukkig zijn." 35 "Lottowinnaars zijn vaak niet gelukkig.
Dat komt omdat je brein snel went aan dat gevoel, maar als het dan helemaal op is en je het niet meer kunt betalen, krijg je het tegenovergestelde van een geluksgevoel. Ook raken mensen erg snel gewent aan dat geluksgevoel, dat zorgt dat je er een beetje aan verslaaft raakt. Dat zijn de grootste redenen waardoor lottowinnaars vooral op lange termijn niet gelukkig zijn." "Given 3 0 0 4 Given" 2
1 2022-06-03 nR6 6563283 49.25 No-SSI 1 Muziek 1445 2 Ja 2 "Als je veel muziek speelt, leer je meer. 
Daar krijg je een hoger IQ van. 
Daardoor zijn muzikanten vaak beter in vakken als wiskunde.
Ook onthouden ze dingen en liedjes beter. 
Dus je krijgt er ook een beter geheugen door." 37 "Als je veel muziek speelt, leer je meer. 
Daar krijg je een hoger IQ van. 
Daardoor zijn muzikanten vaak beter in vakken als wiskunde.
Ook onthouden ze dingen en liedjes beter. 
Dus je krijgt er ook een beter geheugen door." "Given 4 2 3" 3
1 2022-06-03 nR6 6563283 49.25 No-SSI 1 Metro 1484 3 Ja 1 "De gevolgen zijn, dat er meer koraal gaat groeien. 
Doordat er dan meer koraal is gaan groeien, is er ook meer leefruimte voor vissen en plankton. Daardoor krijgen we een schonere oceaan. Hiervan zijn de gevolgen dat men meer metrowagons laat zinken." 39 "De gevolgen zijn, dat er meer koraal gaat groeien. 
Doordat er dan meer koraal is gaan groeien, is er ook meer leefruimte voor vissen en plankton. Daardoor krijgen we een schonere oceaan. Hiervan zijn de gevolgen dat men meer metrowagons laat zinken." "2 4 3 0 0" 3
1 2022-06-03 nR6 6563283 49.25 No-SSI 2 Botox 829 4 Nee 3 "Je spieren worden geblokkeert.
Dat zorgt dat de huid zich gladtrekt.
Mensen vinden dat erg mooi.
Dat komt omdat je er dan jonger uit kan zien.
Ook kan het gezichtsuitdrukkingen veranderen." 74 "Je spieren worden geblokkeert.
Dat zorgt dat de huid zich gladtrekt.
Mensen vinden dat erg mooi.
Dat komt omdat je er dan jonger uit kan zien.
Ook kan het gezichtsuitdrukkingen veranderen." "1 2 0 3 4" 4
1 2022-06-03 nR6 6563283 49.25 No-SSI 2 Beton 847 5 Ja 2 "Doordat het beton opdroogt, krimt het.
Doordat het krimt, kunnen er liften blijven hangen. 
Dat zorgt dat liften niet veilig genoeg zijn om te gebruiken.
Daarom moeten liften worden gerenoveerd." 76 "Doordat het beton opdroogt, krimt het.
Doordat het krimt, kunnen er liften blijven hangen. 
Dat zorgt dat liften niet veilig genoeg zijn om te gebruiken.
Daarom moeten liften worden gerenoveerd." "2 3 4 0 Given" 3
1 2022-06-03 nR6 6563283 49.25 No-SSI 2 Suez 917 6 Ja 1 "De afstand is korter geworden, omdat het reis erg ver was.
Dat maakte dat het lang duurde. Vandaar dat ze een kortere route hadden bedacht.
Ookwel het Sueskanaal." 78 "De afstand is korter geworden, omdat het reis erg ver was.
Dat maakte dat het lang duurde. Vandaar dat ze een kortere route hadden bedacht.
Ookwel het Sueskanaal." "Given 2 0 3 4" 3
1 2022-06-03 nR6 6563284 30.6166666666667 No-SSI 1 Metro 843 1 Ja 3 "doordat er metro wagens tot zinken zijn gebracht is er kunstmatig rif
daardoor is er veel plankton en die andere
wel 400 keer zo veel
daardoor zijn er veel andere vissen" 35 "doordat er metro wagens tot zinken zijn gebracht is er kunstmatig rif
daardoor is er veel plankton en die andere
wel 400 keer zo veel
daardoor zijn er veel andere vissen" "2 3 0 4" 3
1 2022-06-03 nR6 6563284 30.6166666666667 No-SSI 1 Muziek 843 2 Ja 3 "je wiskunde kan er beter van
je IQ kan hoger worden
je kan oudere herinneringen beter terug halen
het kan helpen met althzeimer" 37 NA "2 4 3 0" 3
1 2022-06-03 nR6 6563284 30.6166666666667 No-SSI 1 Geld 854 3 Ja 2 "mensen raken snel gewend aan luxe
je voelt meestal maar kort extreme geluk of ongeluk
dus als je geld krijgt ben je maar even blij
als je gelukkig zou blijven willen voelen zou je telkens opnieuw geld moeten krijgen" 39 NA "3 2 4 0" 3
1 2022-06-03 nR6 6563284 30.6166666666667 No-SSI 2 Suez 423 4 Ja 0 "eerst moesten mensen die van rtterdam naar jeddah wouden helemaal om afrika
dat was niet handig en duurde erg lang
er werd een kanaal gegraven
geen idee meer hoe dat kanaal heet " 74 "eerst moesten mensen die van rtterdam naar jeddah wouden helemaal om afrika
dat was niet handig en duurde erg lang
er werd een kanaal gegraven
geen idee meer hoe dat kanaal heet" "2 3 4 0" 3
1 2022-06-03 nR6 6563284 30.6166666666667 No-SSI 2 Botox 387 5 Ja 2 "je kan er jonger uit zien
je kan ongewilde blikken trekken
je rimpels gaan weg
het blijft 1-6 maanden zitten" 76 "je kan er jonger uit zien
je kan ongewilde blikken trekken
je rimpels gaan weg
het blijft 1-6 maanden zitten" "3 0 2 0" 2
1 2022-06-03 nR6 6563284 30.6166666666667 No-SSI 2 Beton 376 6 Ja 0 "er zijn veel oude gebouwen
iets gebeurt er met het beton weet niet meer precies wat
doordoor word het gebouw kleiner
en de liften gevaarlijker " 78 "er zijn veel oude gebouwen
iets gebeurt er met het beton weet niet meer precies wat
doordoor word het gebouw kleiner
en de liften gevaarlijker" "0 0 3 0" 1
1 2022-06-03 nR6 6563286 17.4833333333333 SSI 1 Muziek 429 1 Ja 2 "muziek zet meerde hersendelen aan het werk
wiskunde wordt makkelijker
muziek haalt herinneringen terug
muziek zorgt voor hogere iq" 47 "muziek zet meerde hersendelen aan het werk
wiskunde wordt makkelijker
muziek haalt herinneringen terug
muziek zorgt voor hogere iq" "1 2 3 4" 4
1 2022-06-03 nR6 6563286 17.4833333333333 SSI 1 Suez 431 2 Ja 3 "geen verbinding tussen Middelandse zee en Indische oceaan
korte weg was nodig
suezkanaal werd uitgegraven" 49 "geen verbinding tussen Middelandse zee en Indische oceaan
korte weg was nodig
suezkanaal werd uitgegraven" "1 3 4" 3
1 2022-06-03 nR6 6563286 17.4833333333333 SSI 1 Geld 416 3 Ja 2 "mensen kunnen niet lang gelukkig blijven
geld maakt niet gelukkig" 51 "mensen kunnen niet lang gelukkig blijven
geld maakt niet gelukkig" "3 4" 2
1 2022-06-03 nR6 6563286 17.4833333333333 SSI 2 Botox 344 4 Ja 1 "verkramte spieren worden gespoten
mensen kunnen jonger uitzien
verwarrende gezichtuitdrukking" 86 "verkramte spieren worden gespoten
mensen kunnen jonger uitzien
verwarrende gezichtuitdrukking" "0 3 4" 2
1 2022-06-03 nR6 6563286 17.4833333333333 SSI 2 Beton 329 5 Nee 2 "beton krimpt
gebouw wordt kleiner 
lift blijft hangen
lift renovatie nodig" 88 "beton krimpt
gebouw wordt kleiner 
lift blijft hangen
lift renovatie nodig" "3 0 4 Given" 2
1 2022-06-03 nR6 6563286 17.4833333333333 SSI 2 Metro 326 6 Nee 4 "metro's tot zinken gebracht
niet hoeven op te ruimen
kunstmatig koraalrif aangelegd
plankton en andere kleine diertjes komer naar het koraalrif
vissen komen op de plankton af" 90 "metro's tot zinken gebracht
niet hoeven op te ruimen
kunstmatig koraalrif aangelegd
plankton en andere kleine diertjes komer naar het koraalrif
vissen komen op de plankton af" "Given 1 2 3 4" 4
1 2022-06-03 nR6 6563287 20.3333333333333 No-SSI 1 Geld 529 1 Ja 1 ? 35 ? "0 0 0 0 0 0" 0
1 2022-06-03 nR6 6563287 20.3333333333333 No-SSI 1 Beton 516 2 Ja 2 "er komt een warmte instalatie in een betonnen gebouw en dan gaat het uitdrogen en dan krimpt het gebouw en daardoor blijven de liften vast zitten" 37 NA "1 2 3 4" 4
1 2022-06-03 nR6 6563287 20.3333333333333 No-SSI 1 Suez 577 3 Ja 3 "handelen met het middenoosten over water duurde heel lange dus moesten er kortere wegen gemaakt worden omdat de middellandse zee en de atlantische oceaan niet verbonden waren gingen ze het suez kanaal graven" 39 NA "2 3 2 4" 4
1 2022-06-03 nR6 6563287 20.3333333333333 No-SSI 2 Metro 300 4 Nee 3 "er komt een rif daardoor komt er veel plankton een zeefauna" 74 NA "2 3" 2
1 2022-06-03 nR6 6563287 20.3333333333333 No-SSI 2 Muziek 253 5 Ja 2 ? 76 ? "0 0 0 0 0 0" 0
1 2022-06-03 nR6 6563287 20.3333333333333 No-SSI 2 Botox 253 6 Ja 1 ? 78 NA "0 0 0 0 0 0" 0
1 2022-06-03 nR6 6563288 22.1833333333333 SSI 1 Suez 567 1 Ja 1 "Omdat er nu meer land is" 47 "Omdat er nu meer land is" 0 0
1 2022-06-03 nR6 6563288 22.1833333333333 SSI 1 Muziek 580 2 Ja 3 "je kunt dingen van verleden herrineren door muziek. Beter worden in wiskunde. Je scoort hoger op een iqtest" 49 "je kunt dingen van verleden herrineren door muziek. Beter worden in wiskunde. Je scoort hoger op een iqtest" "3 2 4" 3
1 2022-06-03 nR6 6563288 22.1833333333333 SSI 1 Botox 558 3 Nee 3 "Doordat ze dit in je lichaam spuiten zal je daar geen rimpels meer hebben of bij je ogen bijvoorbeeld niet meer heftig knipperen als je dat doet." 51 "Doordat ze dit in je lichaam spuiten zal je daar geen rimpels meer hebben of bij je ogen bijvoorbeeld niet meer heftig knipperen als je dat doet." "2 1" 2
1 2022-06-03 nR6 6563288 22.1833333333333 SSI 2 Geld 447 4 Ja 2 "Omdat je nooit genoeg geld kan hebben om je zelf gelukkig te maken. Je wordt niet gelukkig van geld maar juist om bijvoorbeeld familie." 86 "Omdat je nooit genoeg geld kan hebben om je zelf gelukkig te maken. Je wordt niet gelukkig van geld maar juist om bijvoorbeeld familie." "0 4 1" 2
1 2022-06-03 nR6 6563288 22.1833333333333 SSI 2 Beton 441 5 Ja 0 "Gebouwen zijn oud en verslijten. liften in gebouwen gaan stuk en moeten geroneveerd worden." 88 "Gebouwen zijn oud en verslijten. liften in gebouwen gaan stuk en moeten geroneveerd worden." "0 4 Given" 1
1 2022-06-03 nR6 6563288 22.1833333333333 SSI 2 Metro 424 6 Ja 2 "Geen plek waar het kan staan. Plankton en ander beestje vreten eraan." 90 "Geen plek waar het kan staan. Plankton en ander beestje vreten eraan." "0 0" 0
1 2022-06-03 nR6 6563289 12.4833333333333 SSI 1 Metro 238 1 Ja 0 "?
?
?
?" 47 "?
?
?
?" "0 0 0 0 0 0" 0
1 2022-06-03 nR6 6563289 12.4833333333333 SSI 1 Suez 194 2 Ja 0 "?
?
?
?" 49 "?
?
?
?" "0 0 0 0 0 0" 0
1 2022-06-03 nR6 6563289 12.4833333333333 SSI 1 Botox 189 3 Ja 2 "?
Er kunnen rimpels worden weg gehaald
Je kunt er jonger uit zien
Je kunt ongewenste veranderingen in het gezicht krijgen" 51 "?
Er kunnen rimpels worden weg gehaald
Je kunt er jonger uit zien
Je kunt ongewenste veranderingen in het gezicht krijgen" "0 2 3 4" 3
1 2022-06-03 nR6 6563289 12.4833333333333 SSI 2 Muziek 273 4 Ja 2 "Hogere scores op IQ testen
gebeurtenissen herinneren
Beter zijn in wiskunde
?
" 86 "Hogere scores op IQ testen
gebeurtenissen herinneren
Beter zijn in wiskunde
?
" "4 3 2 0" 3
1 2022-06-03 nR6 6563289 12.4833333333333 SSI 2 Geld 240 5 Ja 1 "?
?
?
Geld maakt niet voor een lange tijd gelukkig" 88 "?
?
?
Geld maakt niet voor een lange tijd gelukkig" "0 0 0 4" 1
1 2022-06-03 nR6 6563289 12.4833333333333 SSI 2 Beton 211 6 Ja 1 "?
?
Lift blijft hangen
?" 90 "?
?
Lift blijft hangen
?" "0 0 4 0" 1
1 2022-06-03 nR6 6563290 26.3333333333333 SSI 1 Muziek 527 1 Nee 3 "je gebruikt meerdere delen van je hersenen, waardoor je hogere cijfers haalt op iq testen, beter herinneren terughaalt en beter ruimtelijk iets hebt met wiskunde" 47 "je gebruikt meerdere delen van je hersenen, waardoor je hogere cijfers haalt op iq testen, beter herinneren terughaalt en beter ruimtelijk iets hebt met wiskunde" "1 4 3 2" 4
1 2022-06-03 nR6 6563290 26.3333333333333 SSI 1 Metro 616 2 Nee 4 "doordat de metros tot zinken zijn komt er minder afval om te verwerken, komt er een kunstmatig rif, waardoor meer plankton en adere zeefauna komt, waardoor er meer vissen komen" 49 "doordat de metros tot zinken zijn komt er minder afval om te verwerken, komt er een kunstmatig rif, waardoor meer plankton en adere zeefauna komt, waardoor er meer vissen komen" "1 2 3 4" 4
1 2022-06-03 nR6 6563290 26.3333333333333 SSI 1 Beton 607 3 Nee 4 "de centrale verwarming gaat aan, er is slecht beton dus het krimpt, daardoor blijft de lift vasthangen, waardoor het gebouw gerenoveert moet worden" 51 "de centrale verwarming gaat aan, er is slecht beton dus het krimpt, daardoor blijft de lift vasthangen, waardoor het gebouw gerenoveert moet worden" "1 3 4 Given" 3
1 2022-06-03 nR6 6563290 26.3333333333333 SSI 2 Botox 482 4 Ja 2 "je verlamt de zenuw, daardoor komt er geen signaal meer van zenuw naar huid, daardoor geen beweging, ongewenst gezichtuitdrukking verandert" 86 "je verlamt de zenuw, daardoor komt er geen signaal meer van zenuw naar huid, daardoor geen beweging, ongewenst gezichtuitdrukking verandert" "Given 1 0" 1
1 2022-06-03 nR6 6563290 26.3333333333333 SSI 2 Suez 534 5 Ja 2 "omdat de indische en atlantische oceaan niet verbonden waren duurde het heel erg lang om naar jeddah te gaan toen werd er een kanaal gemaakt" 88 "omdat de indische en atlantische oceaan niet verbonden waren duurde het heel erg lang om naar jeddah te gaan toen werd er een kanaal gemaakt" "1 2 4" 3
1 2022-06-03 nR6 6563290 26.3333333333333 SSI 2 Geld 545 6 Ja 2 "omdat lotto winnaars wennen aan luxe hebben ze meer nodig" 90 NA "3 4" 2
1 2022-06-03 nR6 6563291 11.1166666666667 SSI 1 Suez 236 1 Ja 1 "het bduurde te land" 47 NA 2 1
1 2022-06-03 nR6 6563291 11.1166666666667 SSI 1 Geld 245 2 Ja 2 "ze wennen aan luxe" 49 "ze wennen aan luxe" 3 1
1 2022-06-03 nR6 6563291 11.1166666666667 SSI 1 Muziek 265 3 Nee 3 "je word beter in wiskunde 
het helpt oude herrineringen op te halen" 51 "je word beter in wiskunde 
het helpt oude herrineringen op te halen" "2 3" 2
1 2022-06-03 nR6 6563291 11.1166666666667 SSI 2 Beton 260 4 Nee 2 "het krimpt
liften te groot
door verwarming" 86 NA "3 4 1" 3
1 2022-06-03 nR6 6563291 11.1166666666667 SSI 2 Metro 235 5 Nee 3 "kunstmatig koraal
meer plankton
400 maal keer zo veel plankton
meer leven" 88 "kunstmatig koraal
meer plankton
400 maal keer zo veel plankton
meer leven" "2 3 0 4" 3
1 2022-06-03 nR6 6563291 11.1166666666667 SSI 2 Botox 212 6 Nee 3 "28 doden
tegen rimpels
tegen samentrekkingen
niet goed voor je" 90 "28 doden
tegen rimpels
tegen samentrekkingen
niet goed voor je" "2 0 0" 1
1 2022-06-03 nR6 6563292 25.6166666666667 No-SSI 1 Beton 691 1 Ja 3 "gebouwen hebben vaak een centrale verwarming
deze verwarming zorgt ervoor dat het beton uitdroogd
door de uitdroging krimpt het gebouw
door de krimping van het gebouw blijft de lift haken
door het niet meer werken van de lift moet die worden vervangen" 35 "gebouwen hebben vaak een centrale verwarming
deze verwarming zorgt ervoor dat het beton uitdroogd
door de uitdroging krimpt het gebouw
door de krimping van het gebouw blijft de lift haken
door het niet meer werken van de lift moet die worden vervangen" "1 2 3 4 Given" 4
1 2022-06-03 nR6 6563292 25.6166666666667 No-SSI 1 Botox 680 2 Ja 1 "de huid kan jonger lijken omdat rimpels verdwijnen, maar hierdoor kan het gezicht ook ongewenste verranderingen krijgen" 37 NA "3 2 4" 3
1 2022-06-03 nR6 6563292 25.6166666666667 No-SSI 1 Geld 680 3 Ja 1 "ons systeem kan maar kort diep geluk of ongeluk ervaren, we wennen dus aan geluk of ongeluk, je went dus ook aan de hoeveelheid geld die je bezit, hierdoor maakt geld niet gelukkig" 39 "ons systeem kan maar kort diep geluk of ongeluk ervaren, we wennen dus aan geluk of ongeluk, je went dus ook aan de hoeveelheid geld die je bezit, hierdoor maakt geld niet gelukkig" "2 3 0 4" 3
1 2022-06-03 nR6 6563292 25.6166666666667 No-SSI 2 Suez 450 4 Ja 3 "omdat de reis zo lang duurde is het sueskannaal aangelegd door mensen" 74 "omdat de reis zo lang duurde is het sueskannaal aangelegd door mensen" "2 4" 2
1 2022-06-03 nR6 6563292 25.6166666666667 No-SSI 2 Muziek 432 5 Ja 2 "mensen herrineren muziek van vroeger, men is beter in woskunde, men onthoud meer" 76 "mensen herrineren muziek van vroeger, men is beter in woskunde, men onthoud meer" "3 2 0" 2
1 2022-06-03 nR6 6563292 25.6166666666667 No-SSI 2 Metro 444 6 Ja 2 "ze hoefden niet meer worden weggegooid
er ontstond een kunstmatig rif waardoor er meer plankton kwam 
dit plankton zorgde voor meer vissoorten in dit gebied" 78 "ze hoefden niet meer worden weggegooid
er ontstond een kunstmatig rif waardoor er meer plankton kwam 
dit plankton zorgde voor meer vissoorten in dit gebied" "0 2 3 4" 3
1 2022-06-03 nR6 6563293 27.7666666666667 No-SSI 1 Botox 675 1 Ja 2 "botox blokkeerd iets.
het kan gebruikt worden om rimpels of andere verouderingen mee weg te werken.
zo heb je de kans om een andere persoonlijkheid te krijgen en nog andere dingen." 35 "botox blokkeerd iets.
het kan gebruikt worden om rimpels of andere verouderingen mee weg te werken.
zo heb je de kans om een andere persoonlijkheid te krijgen en nog andere dingen." "Given 2 0" 1
1 2022-06-03 nR6 6563293 27.7666666666667 No-SSI 1 Geld 625 2 Ja 2 "ze hebben meer geld spullen en ander dingen nodig om gelukkig te worden.
meestal als ze rijk zijn zonderen ze zich af van hun familie en vrienden." 37 NA "4 0" 1
1 2022-06-03 nR6 6563293 27.7666666666667 No-SSI 1 Metro 604 3 Ja 3 "zo was er een andere manier dan verbranden of tot een andere exicutie.
er werd een kunstrif aangemaakt.
er kwamen zo meer plankton en andere bacteriën.
zo kwamen er vissen die de bacteriën eten." 39 NA "0 2 3 4" 3
1 2022-06-03 nR6 6563293 27.7666666666667 No-SSI 2 Beton 508 4 Ja 1 "meestal hebben betonnen gebouwen een centrale verwarming. 
zo kromp het gebouw.
liften begonnen vast te zitten.
?" 74 "meestal hebben betonnen gebouwen een centrale verwarming. 
zo kromp het gebouw.
