Participant_Private_ID,Question_Key,Response
6613712,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613712,Age,15
6613735,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613735,Age,16
6613736,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613736,Age,16
6613780,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613780,Age,17
6626667,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626667,Age,16
6626669,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626669,Age,15
6626673,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626673,Age,15
6626679,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626679,Age,15
6626664,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626664,Age,15
6626662,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626662,Age,16
6626661,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626661,Age,16
6626660,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626660,Age,15
6626659,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626659,Age,16
6626656,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626656,Age,16
6626655,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626655,Age,16
6626654,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626654,Age,16
6626653,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626653,Age,15
6626652,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626652,Age,16
6626650,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626650,Age,16
6626648,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626648,Age,17
6626646,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626646,Age,15
6626645,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626645,Age,15
6626643,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626643,Age,15
6626641,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626641,Age,16
6626640,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626640,Age,17
6626638,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6626638,Age,15
6613797,Consent-2,Mijn anonieme antwoorden mogen NIET worden gebruikt voor het onderzoek
6613797,Age,15
6613738,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613738,Age,18
6613727,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613727,Age,16
6613725,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613725,Age,16
6613723,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613723,Age,16
6613719,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613719,Age,16
6613718,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613718,Age,15
6613717,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613717,Age,15
6613715,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613715,Age,16
6613713,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613713,Age,16
6613708,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613708,Age,15
6613702,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613702,Age,17
6613699,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613699,Age,15
6613698,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6613698,Age,16
6594522,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594522,Age,13
6594479,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594479,Age,14
6594478,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594478,Age,13
6594476,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594476,Age,13
6594471,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594471,Age,13
6594470,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594470,Age,12
6594469,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594469,Age,13
6594465,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594465,Age,13
6594464,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594464,Age,13
6594463,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594463,Age,13
6594462,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594462,Age,13
6594461,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594461,Age,14
6594460,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594460,Age,13
6594459,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594459,Age,13
6594456,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594456,Age,14
6594455,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6594455,Age,14
6588712,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588712,Age,14
6588701,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588701,Age,13
6588700,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588700,Age,14
6588696,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588696,Age,14
6588695,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588695,Age,14
6588694,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588694,Age,13
6588692,Consent-2,Mijn anonieme antwoorden mogen NIET worden gebruikt voor het onderzoek
6588692,Age,14
6588691,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588691,Age,14
6588688,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588688,Age,14
6588682,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6588682,Age,14
6581328,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581328,Age,13
6581317,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581317,Age,12
6581315,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581315,Age,13
6581314,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581314,Age,12
6581313,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581313,Age,13
6581311,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581311,Age,13
6581310,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581310,Age,13
6581309,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581309,Age,13
6581308,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581308,Age,12
6581306,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581306,Age,13
6581305,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581305,Age,13
6581303,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581303,Age,13
6581302,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581302,Age,13
6581301,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6581301,Age,12
6563292,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563292,Age,14
6563291,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563291,Age,14
6563290,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563290,Age,13
6563289,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563289,Age,13
6563288,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563288,Age,13
6563287,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563287,Age,13
6563280,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563280,Age,13
6563275,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563275,Age,13
6563274,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563274,Age,13
6563260,Consent-1,Mijn anonieme antwoorden mogen WEL worden gebruikt voor het onderzoek
6563260,Age,14
